"PanelAPP.Gene.Symbol","PanelAPP.Model_Of_Inheritance","PanelAPP.Phenotypes","PanelAPP.UserRatings_Green_amber_red","PanelAPP.EnsemblId.GRch37"
"RFX5","BIALLELIC, autosomal or pseudoautosomal","Bare lymphocyte syndrome, type II, complementation group C;Bare lymphocyte syndrome, type II, complementation group E;HLA class II deficiency;Combined immunodeficiency;Bare lymphocyte syndrome (MHC class II deficiency);Respiratory and gastrointestinal infections, liver/biliary tract disease;Immunodeficiencies affecting cellular and humoral immunity","100;0;0","ENSG00000143390"
"RFXANK","BIALLELIC, autosomal or pseudoautosomal","MHC class II deficiency, complementation group B;Combined immunodeficiency (MHC class II deficiency, bare lymphocyte syndrome);HLA class II deficiency;Respiratory and gastrointestinal infections, liver/biliary tract disease;Immunodeficiencies affecting cellular and humoral immunity","100;0;0","ENSG00000064490"
"RFXAP","BIALLELIC, autosomal or pseudoautosomal","Bare lymphocyte syndrome, type II, complementation group D;Combined immunodeficiency (MHC class II deficiency, bare lymphocyte syndrome);HLA class II deficiency;Respiratory and gastrointestinal infections, liver/biliary tract disease;Immunodeficiencies affecting cellular and humoral immunity","100;0;0","ENSG00000133111"
"RMRP","BIALLELIC, autosomal or pseudoautosomal","Anauxetic dysplasia 1, 232220;Cartilage-hair hypoplasia, with or without immunodeficiency;Cartilage-hair hypoplasia;Omenn syndrome;Cartilage hair hypoplasia;Short-limbed dwarfism with metaphyseal dysostosis, sparse hair, bone marrow failure, autoimmunity, susceptibility to lymphoma and other cancers, impaired spermatogenesis, neuronal dysplasia of the intestine;Combined immunodeficiencies with associated or syndromic features","100;0;0","ENSG00000269900"
"RNASEH2A","BIALLELIC, autosomal or pseudoautosomal","Aicardi-Goutieres syndrome 4 610333, Lupus;Type 1 interferonopathies;Classical AGS;Autoinflammatory Disorders","100;0;0","ENSG00000104889"
"RNASEH2B","BIALLELIC, autosomal or pseudoautosomal","Aicardi-Goutieres syndrome 2 610181;Type 1 interferonopathies;Classical AGS, SP;Autoinflammatory Disorders","100;0;0","ENSG00000136104"
"RNASEH2C","BIALLELIC, autosomal or pseudoautosomal","Aicardi-Goutieres syndrome 3 610329;Type 1 interferonopathies;Classical AGS;Autoinflammatory Disorders","100;0;0","ENSG00000172922"
"RNF168","BIALLELIC, autosomal or pseudoautosomal","RIDDLE syndrome 611943;RNF168 deficiency;Short stature, mild defect of motor control to ataxia, normal intelligence to learning difficulties, mild facial dysmorphism to microcephaly,  increased radiosensitivity;Combined immunodeficiencies with associated or syndromic features","100;0;0","ENSG00000163961"
"RORC","BIALLELIC, autosomal or pseudoautosomal","Immunodeficiency 42 616622;Susceptibility to candidasis & Mycobacterial infection;Susceptibility to mycobacteria and candida;Defects in Intrinsic and Innate Immunity","100;0;0","ENSG00000143365"
"RPSA","MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown","Isolated congential asplenia 271400;Bacteremia (encapsulated bacteria);Defects in Intrinsic and Innate Immunity","100;0;0","ENSG00000168028"
"RTEL1","BOTH monoallelic and biallelic, autosomal or pseudoautosomal","Hoyeraal-Hreidarsson syndrome/ Dyskeratosis congenita, 4 615190;Dyskeratosis congenita, 5 615190;Intrauterine growth retardation, microcephaly, nail dystrophy, sparse scalp hair and eyelashes, hyperpigmentation of skin, palmar hyperkeratosis, premalignant oral leukoplakia, pancytopenia, myelodysplasia, +/- recurrent infections. A severe phenotype with developmental delay and cerebellar hypoplasia known as Hoyeraal-Hreidarsson Syndrome (HHS) may occur in some DKC patients;Combined immunodeficiencies with associated or syndromic features","100;0;0","ENSG00000258366"
"SAMHD1","BIALLELIC, autosomal or pseudoautosomal","Aicardi-Goutieres syndrome 5 612952;Type 1 interferonopathies;Classical AGS, FCL;Autoinflammatory Disorders","100;0;0","ENSG00000101347"
"SBDS","BIALLELIC, autosomal or pseudoautosomal","Shwachman-Diamond syndrome, 260400;Shwachman-Bodian-Diamond syndrome;Shwachman-Diamond-syndrome;Pancytopenia, exocrine pancreatic insufficiency, chondrodysplasia;Congenital defects of phagocyte number or function","100;0;0","ENSG00000126524"
"SERPING1","BOTH monoallelic and biallelic, autosomal or pseudoautosomal","Angioedema, hereditary, types I and II 106100;Hereditary Angioedema (C1inh);Complement component 4, partial deficiency of 120790;Hereditary angioedema;Complement Deficiencies","100;0;0","ENSG00000149131"
"SGPL1","BIALLELIC, autosomal or pseudoautosomal","Nephrotic syndrome 14, 617575;drenal insufficiency;steroid-resistant nephrotic syndrome;focal segmental glomerulosclerosis;lymphopenia","100;0;0","ENSG00000166224"
"SH2D1A","X-LINKED: hemizygous mutation in males, biallelic mutations in females","Lymphoproliferative syndrome, X-linked, 1 308240;Lymphoproliferative syndrome, X-linked, 1 (XLP1);X-linked lymphoproliferative syndrome (XLP);EBV, HLH, Lymphoproliferation, Aplastic anaemia, Lymphoma. Hypogammaglobulinemia, Absent iNKT cells;Diseases of Immune Dysregulation","100;0;0","ENSG00000183918"
"SLC29A3","BIALLELIC, autosomal or pseudoautosomal","Histiocytosis-lymphadenopathy plus syndrome 602782;Other autoinflammatory diseases with known genetic defect;Hyperpigmentation hypertrichosis, histiocytosis-lymphadenopathy plus syndrome;Autoinflammatory Disorders","100;0;0","ENSG00000198246"
"SLC35C1","BIALLELIC, autosomal or pseudoautosomal","Congenital disorder of glycosylation, type IIc 266265;Leukocyte adhesion deficiency (LAD);Mild LAD type 1 features with hh-blood group, growth retardation, developmental delay;Congenital defects of phagocyte number or function","100;0;0","ENSG00000181830"
"SLC37A4","BIALLELIC, autosomal or pseudoautosomal","Glycogen storage disease Ic;Glycogen storage disease Ib, 232220;Glycogen storage disease Ib;Glycogen storage disease type 1b (GS1b);Glycogen storage disease with or without neutropenia;Fasting hypoglycemia, lactic acidosis, hyperlipidemia, hepatomegaly;Congenital defects of phagocyte number or function","100;0;0","ENSG00000137700"
"SLC46A1","BIALLELIC, autosomal or pseudoautosomal","Folate malabsorption, hereditary 229050;Defects of Vitamin B12 and Folate metabolism;Congenital defect of folate absorption;Megaloblastic anemia, failure to thrive, if untreated for prolonged periods results in intellectual disability;Combined immunodeficiencies with associated or syndromic features","100;0;0","ENSG00000076351"
"SMARCAL1","BIALLELIC, autosomal or pseudoautosomal","Schimke immunoosseous dysplasia 242900;Schimke disease;Short stature, spondiloepiphyseal dysplasia, intrauterine growth retardation, nephropathy, bacterial, viral, fungal infections, may present as SCID, bone marrow failure;Combined immunodeficiencies with associated or syndromic features","100;0;0","ENSG00000138375"
"SP110","BIALLELIC, autosomal or pseudoautosomal","Hepatic venoocclusive disease with immunodeficiency 235550;Hepatic venoocclusive disease with immunodeficiency (VODI);Hepatic veno-occlusive disease,  Susceptibility to Pneumocystis jirovecii pneumonia, CMV, candida, thrombocytopenia, hepatosplenomegaly, cerebrospinal leukodystrophy;Combined immunodeficiencies with associated or syndromic features","100;0;0","ENSG00000135899"
"SPINK5","BIALLELIC, autosomal or pseudoautosomal","Netherton syndrome 256500;Congenital ichthyosis, bamboo hair, atopic diathesis, increased bacterial infections, failure to thrive;Combined immunodeficiencies with associated or syndromic features","100;0;0","ENSG00000133710"
"STAT1","BOTH monoallelic and biallelic (but BIALLELIC mutations cause a more SEVERE disease form), autosomal or pseudoautosomal","Immunodeficiency 31A, mycobacteriosis, autosomal dominant 614892;Immunodeficiency 31B, mycobacterial and viral infections, autosomal recessive 613796;Immunodeficiency 31C, autosomal dominant 614162;Immunodeficiency 31A, mycobacteriosis;Candidiasis, familial, 7;Combined immunodeficiency;Chronic mucocutaneous candidiasis (CMC);Defects with susceptibility to mycobacterial infection (MSMD);Severe viral infections, mycobacterial infection;CMC, various fungal, bacterial and viral (HSV) infections, auto-immunity (thyroiditis, diabetes, cytopenias), enteropathy;Susceptibility to mycobacteria, Salmonella;Defects in Intrinsic and Innate Immunity","50;50;0","ENSG00000115415"
"STAT2","BIALLELIC, autosomal or pseudoautosomal","STAT2 deficiency;Predisposition to several viral infection;Immunodeficiency 44, 616636;Severe viral infections (disseminated vaccine-strain measles);Defects in Intrinsic and Innate Immunity","100;0;0","ENSG00000170581"
"STAT3","MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted","Autoimmune disease, multisystem, infantile-onset, 1 615952;Hyper-IgE recurrent infection syndrome 147060;Autoimmune disease, multisystem, infantile-onset;Early-onset multi-organ autoimmune disease;Hyper IgE syndrome (HIES);Combined immunodeficiencies with associated or syndromic features;Diseases of Immune Dysregulation","50;50;0","ENSG00000168610"
"STAT5B","BIALLELIC, autosomal or pseudoautosomal","Growth hormone insensitivity with immunodeficiency 245590;T-B+ SCID;Combined immunodeficiency;Growth-hormone insensitive dwarfism, dysmorphic features, eczema, lymphocytic interstitial pneumonitis, autoimmunity;Combined immunodeficiencies with associated or syndromic features","50;0;50","ENSG00000173757"
"STIM1","BIALLELIC, autosomal or pseudoautosomal","T-B+ SCID;Immunodeficiency 10, 612783;Combined immunodeficiency;Combined immunodeficiency due to STIM1 deficiency;Autoimmunity, EDA, non-progressive myopathy;Combined immunodeficiencies with associated or syndromic features;Combined immunodeficiency due to STIM1 deficiency ORPHA:317430","40;0;60","ENSG00000167323"
"STK4","BIALLELIC, autosomal or pseudoautosomal","Hypergammaglobulinaemia, lymphopenia, combined immunodeficiency, congenital heart disease, autoimmunity;T-cell immunodeficiency, recurrent infections, autoimmunity, and cardiac malformations;AR hyperimmunoglobulin E syndrome;Combined immunodeficiency;Intermittent neutropenia, bacterial, viral (HPV), candidal infections, EBV lymphoproliferation, autoimmune cytopenias, lymphoma, congenital heart disease;Immunodeficiencies affecting cellular and humoral immunity","100;0;0","ENSG00000101109"
"STX11","BIALLELIC, autosomal or pseudoautosomal","Hemophagocytic lymphohistiocytosis, familial 4, 603552;FHL4;Familial hemophagocytic lymphohistiocytosis syndromes (FHLH);HPLH4;HLH4;Fever, HSM, cHLH, cytopenias,;Diseases of Immune Dysregulation","100;0;0","ENSG00000135604"
"STXBP2","BIALLELIC, autosomal or pseudoautosomal","Hemophagocytic lymphohistiocytosis, familial 5, 613101;FHL5;Familial hemophagocytic lymphohistiocytosis syndromes (FHLH);Fever, HSM, cHLH, cytopenias, enteropathy;Diseases of Immune Dysregulation","100;0;0","ENSG00000076944"
"TAP1","BIALLELIC, autosomal or pseudoautosomal","Bare lymphocyte syndrome, type I 604571;HLA class I deficiency;Vasculitis, pyoderma gangrenosum;Immunodeficiencies affecting cellular and humoral immunity","100;0;0","ENSG00000168394"
"TAP2","BIALLELIC, autosomal or pseudoautosomal","Bare lymphocyte syndrome, type I, due to TAP2 deficiency 604571;HLA class I deficiency;Wegener-like granulomatosis;Vasculitis, pyoderma gangrenosum;Immunodeficiencies affecting cellular and humoral immunity","100;0;0","ENSG00000204267"
"TAZ","X-LINKED: hemizygous mutation in males, biallelic mutations in females","Barth syndrome;Cardioskeletal myopathy with neutropenia and abnormal mitochondria;3-methylglutaconic aciduria, type II, 302060;Cardiomyopathy, myopathy, growth retardation, neutropenia;Congenital defects of phagocyte number or function","100;0;0","ENSG00000102125"
"TBK1","MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown","Herpes simplex encephalitis, susceptibility to;Herpetic encephalitis (HSE);{Encephalopathy, acute, infection-induced (herpes-specific), susceptibility to, 8} 617900;Herpes simplex virus 1 encephalitis;Defects in Intrinsic and Innate Immunity","100;0;0","ENSG00000183735"
"TCF3","MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown","Agammaglobulinemia;Agammaglobulinemia 8, autosomal dominant, 616941;Primary immunodeficiency;Recurrent bacterial infections;Predominantly Antibody Deficiencies","100;0;0","ENSG00000071564"
"TCN2","BIALLELIC, autosomal or pseudoautosomal","Transcobalamin II deficiency, 275350;Transcobalamin II deficiency;can have a presentation similar to severe combined immunodeficiency;pancytopenia;neutropenic colitis;Agammaglobulinemia;megaloblastic bone;Transcobalamin-2 precursor;Defects of Vitamin B12 and Folate metabolism;Megaloblastic anemia, pancytopenia, if untreated for prolonged periods results in intellectual disability;Combined immunodeficiencies with associated or syndromic features","100;0;0","ENSG00000185339"
"TICAM1","BOTH monoallelic and biallelic, autosomal or pseudoautosomal","Encephalopathy, acute, infection-induced, susceptibility to, 6 614850;Herpetic encephalitis (HSE);Herpes simplex virus 1 encephalitis;Defects in Intrinsic and Innate Immunity","100;0;0","ENSG00000127666"
"TLR3","BOTH monoallelic and biallelic, autosomal or pseudoautosomal","Herpes simplex encephalitis, susceptibility to, 2;Herpetic encephalitis (HSE);Herpes simplex virus 1 encephalitis (incomplete clinical penetrance for all etiologies listed here);Defects in Intrinsic and Innate Immunity","100;0;0","ENSG00000164342"
"TMC6","BIALLELIC, autosomal or pseudoautosomal","Epidermodysplasia verruciformis, 226400;Human papillomavirus (HPV) (group B1) infections and cancer of the skin (typical EV);Defects in Intrinsic and Innate Immunity","100;0;0","ENSG00000141524"
"TMC8","BIALLELIC, autosomal or pseudoautosomal","Epidermodysplasia verruciformis, 226400;HPV (group B1) infections and cancer of the skin (typical EV);Defects in Intrinsic and Innate Immunity","100;0;0","ENSG00000167895"
"TNFAIP3","MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown","A20 deficiency;Autoinflammatory syndrome, familial, Behcet-like, 616744;Autoimmune lymphoproliferative syndrome;Arthralgia, mucosal ulcers, ocular inflammation;Autoinflammatory Disorders","100;0;0","ENSG00000118503"
"TNFRSF1A","MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown","Periodic fever, familial 142680;TNF-receptor associated periodic fever syndrome (TRAPS);Recurrent fever, serositis, rash, and ocular or joint inflammation;Autoinflammatory Disorders","100;0;0","ENSG00000067182"
"TPP2","BIALLELIC, autosomal or pseudoautosomal","Tripeptidyl-Peptidase II Deficiency;TPP2 deficiency;Autoimmune hemolytic anemia-autoimmune thrombocytopenia-primary immunodeficiency syndrome;immune thrombocytopenia and autoimmune hemolytic anemia;Evans syndrome;Variable lymphoproliferation, severe autoimmune cytopenias, hypergammaglobulinemia, recurrent infections;Diseases of Immune Dysregulation","100;0;0","ENSG00000134900"
"TREX1","BOTH monoallelic and biallelic, autosomal or pseudoautosomal","Aicardi-Goutieres syndrome 1, dominant and recessive;Type 1 interferonopathies;Classical AGS, SLE, FCL;Autoinflammatory Disorders","100;0;0","ENSG00000213689"
"TRNT1","BIALLELIC, autosomal or pseudoautosomal","Congenital sideroblastic anemia with immunodeficiency, fevers, and developmental delay (SIFD);Sideroblastic anemia with B-cell immunodeficiency, periodic fevers, and developmental delay, 616084;congenital sideroblastic anemia, deafness, developmental delay;Predominantly Antibody Deficiencies","100;0;0","ENSG00000072756"
"TTC37","BIALLELIC, autosomal or pseudoautosomal","Trichohepatoenteric syndrome 1, 222470;Intrauterine growth retardation, woolly hair;facial dysmorphism;intractable diarrhoea in infancy requiring total parenteral nutrition;Hypogammaglobulinaemia;Trichohepatoenteric syndrome;immune dysfunction;Recurrent bacterial and viral infections, Abnormal hair findings: trichorrhexis nodosa;Predominantly Antibody Deficiencies","100;0;0","ENSG00000198677"
"TTC7A","BIALLELIC, autosomal or pseudoautosomal","Gastrointestinal defects and immunodeficiency syndrome, 243150;Multiple intestinal atresia and severe combined immunodeficiency;Combined immunodeficiency;Immunodeficiencies with multiple intestinal atresias;Combined immunodeficiency-enteropathy spectrum;Bacterial (sepsis), fungal, viral infections, multiple intestinal atresias, often with intrauterine polyhydramnios and early demise, some with SCID phenotype;Combined immunodeficiencies with associated or syndromic features","100;0;0","ENSG00000068724"
"TYK2","BIALLELIC, autosomal or pseudoautosomal","Immunodeficiency 35 611521;Hyper IgE syndrome (HIES);Susceptibility to intracellular bacteria (mycobacteria, Salmonella), viruses, +/- elevated IgE;Defects in Intrinsic and Innate Immunity","100;0;0","ENSG00000105397"
"UNC13D","BIALLELIC, autosomal or pseudoautosomal","Hemophagocytic lymphohistiocytosis, familial 3, 608898;FHL3;Familial hemophagocytic lymphohistiocytosis syndromes (FHLH);HPLH3;HLH3;Fever, HSM, HLH, cytopenias,;Diseases of Immune Dysregulation","100;0;0","ENSG00000092929"
"UNC93B1","BIALLELIC, autosomal or pseudoautosomal","Herpes simplex encephalitis, susceptibility to, 1;Herpetic encephalitis (HSE);{Encephalopathy, acute, infection-induced (herpes-specific), susceptibility to, 1} 610551;Herpes simplex virus 1 encephalitis;Defects in Intrinsic and Innate Immunity","100;0;0","ENSG00000110057"
"UNG","BIALLELIC, autosomal or pseudoautosomal","Immunodeficiency with hyper IgM, type 5;Hyper IgM syndrome with lymphoid hyperplasia;CSR defects and Hyper IgM (HIGM) syndromes;Immunodeficiency with hyper IgM, type 5, 608106;Enlarged lymph nodes and germinal centers;Predominantly Antibody Deficiencies","100;0;0","ENSG00000076248"
"USB1","BIALLELIC, autosomal or pseudoautosomal","Poikiloderma with neutropenia, 604173;Clericuzio-type poikiloderma with neutropenia syndrome;Retinopathy, developmental delay, facial dysmorphisms, poikiloderma;Congenital defects of phagocyte number or function","100;0;0","ENSG00000103005"
"VPS13B","BIALLELIC, autosomal or pseudoautosomal","Cohen syndrome, 216550;Cohen syndrome;Dysmorphism, mental retardation, obesity, deafness, neutropenia;Congenital defects of phagocyte number or function","100;0;0","ENSG00000132549"
"VPS45","BIALLELIC, autosomal or pseudoautosomal","Neutropenia, severe congenital, 5, autosomal recessive, 615285;Neutropenia, severe congenital 5;VPS45 deficiency (SCN5);Extramedullary hematopoiesis, bone marrow fibrosis, nephromegaly;Congenital defects of phagocyte number or function","100;0;0","ENSG00000136631"
"WAS","X-LINKED: hemizygous mutation in males, biallelic mutations in females","Wiskott-Aldrich syndrome;Neutropenia, severe congenital, X-linked, 300299;X-linked thrombocytopenia;Wiskott-Aldrich syndrome (WAS);X-linked thrombocytopenia with mutations in WASP;Congenital neutropenia;Thrombocytopenia with small platelets, recurrent bacterial and viral infections, bloody diarrhea, eczema, lymphoma, autoimmune disease, IgA nephropathy, vasculitis;XL thrombocytopenia is a mild form of WAS, and XL neutropenia is caused by missense mutations in the GTPase binding domain of WASp;Combined immunodeficiencies with associated or syndromic features;Neutropenia, myeloid maturation arrest, monocytopenia, variable lymphoid anomalies;Congenital defects of phagocyte number or function","100;0;0","ENSG00000015285"
"XIAP","X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)","Lymphoproliferative syndrome, X-linked, 2;300635;Lymphoproliferative syndrome, X-linked, 2 (XLP2);X-linked lymphoproliferative syndrome (XLP);haemophagocytic lymphohistiocytosis;inflammatory bowel disease;splenomegaly;EBV infection, Splenomegaly, lymphoproliferation, HLH, Colitis, IBD, hepatitis, Low iNKT cells, hypogammaglobulinemia;Diseases of Immune Dysregulation","100;0;0","ENSG00000101966"
"ZAP70","BIALLELIC, autosomal or pseudoautosomal","Autoimmune disease, multisystem, infantile-onset, 2;Immunodeficiency 48;Severe Combined Immune Deficiency;Selective T-cell defect;Zap-70 deficiency;Combined immunodeficiency;Severe combined immunodeficiency (SCID);May have immune dysregulation, autoimmunity;Immunodeficiencies affecting cellular and humoral immunity;Severe autoimmunity;Diseases of Immune Dysregulation","100;0;0","ENSG00000115085"
"ZBTB24","BIALLELIC, autosomal or pseudoautosomal","Immunodeficiency-centromeric instability-facial anomalies syndrome-2 614069;Immunodeficiency centromeric instability facial anomalies syndrome (ICF);Facial dysmorphic features, macroglossia, bacterial/opportunistic infections, malabsorption, cytopenias, malignancies,  multiradial configurations of chromosomes 1, 9, 16;Combined immunodeficiencies with associated or syndromic features","50;50;0","ENSG00000112365"
"ACD","BOTH monoallelic and biallelic (but BIALLELIC mutations cause a more SEVERE disease form), autosomal or pseudoautosomal","Dyskeratosis congenita 6, 616553;Dyskeratosis congenita 7, 616553;Hoyeraal-Hreidarsson syndrome","50;50;0","ENSG00000102977"
"ATP6AP1","X-LINKED: hemizygous mutation in males, biallelic mutations in females","Immunodeficiency 47, 300972;Hepatopathy, leukopenia, low copper;Predominantly Antibody Deficiencies;Immunodeficiency and hepatopathy with or without neurologic features","100;0;0","ENSG00000071553"
"BACH2","MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown","Lymphocytic colitis, sinopulmonary infections;Diseases of Immune Dysregulation;infantile onset enterocolitis;hypogammaglobulinaemia;BACH2-related immunodeficiency and autoimmunity (BRIDA)","100;0;0","ENSG00000112182"
"C3","BIALLELIC, autosomal or pseudoautosomal","C3 deficiency, 613779;Complement component 3 deficiency;Infections, glomerulonephritis, atypical hemolytic-uremic syndrome with GOF mutations;Atypical hemolytic-uremic syndrome, dense deposit disease;Complement Deficiencies","100;0;0","ENSG00000125730"
"CARD11","BOTH monoallelic and biallelic, autosomal or pseudoautosomal","Immunodeficiency 11A, 615206 (AR);CARD11 deficiency;Predominantly antibody deficiencies;Atypical Severe Combined Immunodeficiency (Atypical SCID);Combined immunodeficiency;Autoimmune lymphoproliferative syndrome (ALPS);B cell expansion with NFKB and T cell anergy (BENTA) (AD), 616452;immunodeficiency 11B with atopic dermatitis (AD), 617638;Severe atopy, recurrent infections;Combined immunodeficiencies with associated or syndromic features;Splenomegaly, lymphadenopathy, poor vaccine response;Predominantly Antibody Deficiencies;Pneumocystis jirovecii pneumonia, bacterial and viral infections;Immunodeficiencies affecting cellular and humoral immunity","100;0;0","ENSG00000198286"
"CEBPE","BOTH monoallelic and biallelic, autosomal or pseudoautosomal","Specific granule deficiency, 245480;Specific granule deficiency 1;CCAAT/enhancer binding protein epsilon deficiency (CEBPE);Recurrent infection due to specific granule deficiency;neutrophil lactoferrin deficiency;Neutrophils with bilobed nuclei;Congenital defects of phagocyte number or function","100;0;0","ENSG00000092067"
"CSF2RB","BIALLELIC, autosomal or pseudoautosomal","Surfactant metabolism dysfunction, pulmonary, 5, 614370;Alveolar proteinosis;Congenital defects of phagocyte number or function","100;0;0","ENSG00000100368"
"CTSC","BIALLELIC, autosomal or pseudoautosomal","Papillon-Lefevre syndrome, 245000;Periodontitis, palmoplantar hyperkeratosis in some patients;Congenital defects of phagocyte number or function;Severe periodontitis;palmoplantar keratoderma;Haim-Munk syndrome, 245010","100;0;0","ENSG00000109861"
"CYBB","X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)","Immunodeficiency 34, mycobacteriosis, X-linked, 300645;Chronic granulomatous disease, X-linked, 306400;Chronic granulomatous disease (CGD);Defects with susceptibility to mycobacterial infection (MSMD);Infections, autoinflammatory phenotype, IBD, McLeod phenotype in patients with deletions extending into the contiguous Kell locus;Congenital defects of phagocyte number or function;Isolated susceptibility to mycobacteria;Defects in Intrinsic and Innate Immunity","50;50;0","ENSG00000165168"
"DKC1","X-LINKED: hemizygous mutation in males, biallelic mutations in females","Dyskeratosis congenita, X-linked 305000;Hoyeraal-Hreidarsson syndrome;Intrauterine growth retardation, microcephaly, nail dystrophy, sparse scalp hair and eyelashes, hyperpigmentation of skin, palmar hyperkeratosis, premalignant oral leukoplakia, pancytopenia, myelodysplasia, recurrent infections;Severe phenotype with DD and cerebellar hypoplasia;Hoyeraal-Hreidarsson Syndrome (HHS) may occur in some DKC patients;Combined immunodeficiencies with associated or syndromic features","100;0;0","ENSG00000130826"
"DNAJC21","BIALLELIC, autosomal or pseudoautosomal","Bone marrow failure syndrome 3, 617052;Shwachman-Diamond syndrome-like;Metaphyseal changes, short stature, developmental delay, pancreatic dysfunction, bone marrow failure;Congenital defects of phagocyte number or function","100;0;0","ENSG00000168724"
"DNASE2","BIALLELIC, autosomal or pseudoautosomal","Glomerulonephritis, arthropathy, vasculitis;Autoinflammatory Disorders;multisystem autoinflammatory syndrome;severe neonatal anemia;membranoproliferative glomerulonephritis;liver fibrosis;deforming arthropathy;SLE","100;0;0","ENSG00000105612"
"ERCC6L2","BIALLELIC, autosomal or pseudoautosomal","Bone marrow failure syndrome 2, 615715;Facial dysmorphism, microcephaly, bone marrow failure;Combined immunodeficiencies with associated or syndromic features","100;0;0","ENSG00000182150"
"F12","MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted","Angioedema, Hereditary, Type III;hereditary angioedema","100;0;0","ENSG00000131187"
"FAT4","BIALLELIC, autosomal or pseudoautosomal","Hennekam lymphangiectasia-lymphedema syndrome 2, 616006;Lymphangiectasia and lymphedema with facial abnormalities and other dysmorphic features;Combined immunodeficiencies with associated or syndromic features","50;50;0","ENSG00000196159"
"GATA1","X-LINKED: hemizygous mutation in males, biallelic mutations in females","Anemia, X-linked, with/without neutropenia and/or platelet abnormalities, 300835;thrombocytopenia;dyserythropoietic anaemia;neutropenia","100;0;0","ENSG00000102145"
"IFIH1","BOTH monoallelic and biallelic, autosomal or pseudoautosomal","Aicardi-Goutieres syndrome 7 (AD);Classical AGS, SLE, SP, SMS;Autoinflammatory Disorders;Rhinovirus and other RNA viruses (AR);susceptibility to RNA viruses;Defects in Intrinsic and Innate Immunity","100;0;0","ENSG00000115267"
"LAT","BIALLELIC, autosomal or pseudoautosomal","Immunodeficiency 52, 617514;Adenopathy, splenomegaly, recurrent infections, autoimmunity;Immunodeficiencies affecting cellular and humoral immunity","100;0;0","ENSG00000213658"
"MYO5B","BIALLELIC, autosomal or pseudoautosomal","Microvillus inclusion disease 251850","50;50;0","ENSG00000167306"
"NCF4","BIALLELIC, autosomal or pseudoautosomal","?Granulomatous disease, chronic, autosomal recessive, cytochrome b-positive, type III 613960;Granulomatous disease, chronic, autosomal recessive, cytochrome b-positive, type III;Chronic granulomatous disease (CGD);Infections, autoinflammatory phenotype;Congenital defects of phagocyte number or function","75;0;25","ENSG00000100365"
"NHP2","BIALLELIC, autosomal or pseudoautosomal","Dyskeratosis congenita, autosomal recessive 2 613987;Dyskeratosis congenita;Hoyeraal-Hreidarsson syndrome;Intrauterine growth retardation, microcephaly, nail dystrophy, sparse scalp hair and eyelashes, hyperpigmentation of skin, palmar hyperkeratosis, premalignant oral leukoplakia, pancytopenia, myelodysplasia, +/- recurrent infections. A severe phenotype with developmental delay and cerebellar hypoplasia known as Hoyeraal-Hreidarsson Syndrome (HHS) may occur in some DKC patients;Combined immunodeficiencies with associated or syndromic features","100;0;0","ENSG00000145912"
"NSMCE3","BIALLELIC, autosomal or pseudoautosomal","Lung disease, immunodeficiency, and chromosome breakage syndrome, 617241;Severe lung disease (possibly viral), thymic hypoplasia, Chromosomal breakage, radiation sensitivity;Combined immunodeficiencies with associated or syndromic features","100;0;0","ENSG00000185115"
"PEPD","BIALLELIC, autosomal or pseudoautosomal","Prolidase deficiency, 170100;Autoantibodies common, chronic skin ulcers, eczema, infections;Diseases of Immune Dysregulation","100;0;0","ENSG00000124299"
"POLA1","X-LINKED: hemizygous mutation in males, biallelic mutations in females","Hyperpigmentation, characteristic facies, lung and GI involvement;Autoinflammatory Disorders;Pigmentary disorder, reticulate, with systemic manifestations, X-linked 301220;X-linked reticulate pigmentary disorder;x-linked cutaneous amyloidosis with systemic features","100;0;0","ENSG00000101868"
"RASGRP1","BIALLELIC, autosomal or pseudoautosomal","Recurrent pneumonia, herpesvirus infections, EBV associated lymphoma;Diseases of Immune Dysregulation;EBV-induced lymphoma;Immunodeficiency,","100;0;0","ENSG00000172575"
"RBCK1","BIALLELIC, autosomal or pseudoautosomal","Polyglucosan body myopathy, early-onset, with or without immunodeficiency 615895;Other autoinflammatory diseases with known genetic defect;HOIL1 deficiency;Bacterial infections, autoinflammation, amylopectinosis;Combined immunodeficiencies with associated or syndromic features","100;0;0","ENSG00000125826"
"RIPK1","BIALLELIC, autosomal or pseudoautosomal","Immunodeficiency 57, 618108;Severe immunodeficiency, arthritis, and intestinal inflammation","100;0;0","ENSG00000137275"
"SKIV2L","BIALLELIC, autosomal or pseudoautosomal","Trichohepatoenteric syndrome 2,614602;Trichohepatoenteric syndrome;Immune dysfunction","100;0;0","ENSG00000204351"
